"Brand","Year","UsedOrNew","Transmission","Cylinders","EngineDisplacement","DriveType","FuelType","Litersper100km","Kilometres","City","State","BodyType","Doors","Seats","Price"
"Ssangyong",2022,"DEMO","Automatic",4,2.2,"AWD","Diesel",8.7,5595,"Caringbah","NSW","SUV",4,7,51990
"MG",2022,"USED","Automatic",4,1.5,"Front","Premium",6.7,16,"Brookvale","NSW","Hatchback",5,5,19990
"BMW",2022,"USED","Automatic",4,2,"Rear","Premium",6.6,8472,"Sylvania","NSW","Coupe",2,4,108988
"Mercedes-Benz",2011,"USED","Automatic",8,5.5,"Rear","Premium",11,136517,"Mount Druitt","NSW","Coupe",2,4,32990
"Renault",2022,"USED","Automatic",4,1.3,"Front","Unleaded",6,1035,"Castle Hill","NSW","SUV",4,5,34990
"Land",2017,"USED","Automatic",4,2,"AWD","Diesel",5.1,67662,"Blacktown","NSW","SUV",2,4,62280
"Nissan",2000,"USED","Automatic",4,1.6,"Front","Unleaded",8,300539,"Wentworthville","NSW","Hatchback",5,5,2995
"Toyota",2013,"USED","Automatic",4,2,"Rear","Premium",7.1,82012,"Mcgraths Hill","NSW","Coupe",2,4,24888
"Honda",2014,"USED","Automatic",4,1.3,"Front","Hybrid",4.5,38229,"Lidcombe","NSW","Hatchback",5,5,17900
"Toyota",2018,"USED","Automatic",4,2.7,"Rear","Unleaded",9.8,16324,"Lidcombe","NSW","Commercial",4,2,41999
"Toyota",2016,"USED","Automatic",4,3,"Rear","Diesel",8,229829,"Lidcombe","NSW","Commercial",4,2,27995
"Volkswagen",2012,"USED","Automatic",4,1.4,"Front","Premium",6.2,55676,"Five Dock","NSW","Hatchback",5,5,14999
"BMW",2014,"USED","Automatic",4,2,"4WD","Diesel",5.6,82624,"Haberfield","NSW","SUV",4,5,24985
"BMW",2011,"USED","Automatic",4,2,"Rear","Diesel",5.4,95204,"Five Dock","NSW","Hatchback",5,5,13999
"Ford",2014,"USED","Automatic",3,1,"Front","Unleaded",5.4,76289,"Cabramatta","NSW","Hatchback",5,5,12400
"Mitsubishi",2012,"USED","Automatic",4,2.4,"AWD","Unleaded",7.5,219681,"Blacktown","NSW","SUV",4,7,13999
"Ford",2013,"USED","Automatic",4,1.6,"Front","Unleaded",6.1,98079,"Blacktown","NSW","Hatchback",5,5,11999
"Volkswagen",2023,"NEW","Automatic",6,3,"AWD","Diesel",8.4,15,"Blacktown","NSW","Ute / Tray",4,5,83887
"Honda",2018,"USED","Automatic",4,1.5,"Front","Unleaded",5.8,43274,"Castle Hill","NSW","Hatchback",5,5,19900
"Subaru",2012,"USED","Automatic",4,2.5,"AWD","Premium",8.4,105672,"Glebe","NSW","SUV",4,5,17990
"Mitsubishi",2018,"USED","Automatic",3,1.2,"Front","Unleaded",4.7,36836,"Camden","NSW","Hatchback",5,5,14995
"Toyota",2005,"USED","Automatic",4,2.4,"Front","Unleaded",9.8,115821,"Lansvale","NSW","Sedan",4,5,8499
"Hyundai",2011,"USED","Automatic",4,2.4,"Front","Unleaded",7.9,189711,"Croydon","NSW","Sedan",4,5,12990
"Ford",2015,"USED","Automatic",6,2.7,"Rear","Diesel",8.2,173786,"Blacktown","NSW","SUV",4,7,16999
"Nissan",2018,"USED","Automatic",4,2,"Front","Unleaded",6.9,114301,"Pendle Hill","NSW","SUV",4,5,21950
"Volkswagen",2013,"USED","Manual",4,2,"Front","Premium",6.6,69197,"Blacktown","NSW","Hatchback",5,5,24880
"Hyundai",2015,"USED","Automatic",4,2,"Front","Unleaded",7.9,94377,"Mcgraths Hill","NSW","SUV",4,5,23888
"Ford",2016,"USED","Automatic",4,1.5,"Front","Unleaded",6.2,94965,"Blacktown","NSW","Hatchback",5,5,16999
"Nissan",2019,"USED","Automatic",4,2.5,"Front","Unleaded",8.1,99294,"Blacktown","NSW","SUV",4,7,24490
"Toyota",2021,"USED","Automatic",4,1.8,"Front","Hybrid",4.2,13694,"Blacktown","NSW","Hatchback",5,5,44878
"Toyota",2007,"USED","Automatic",4,1.5,"Front","Unleaded",6.7,264691,"Lansvale","NSW","Sedan",4,5,7949
"Toyota",2010,"USED","Manual",4,1.8,"Front","Unleaded",7.7,238270,"Smithfield","NSW","Hatchback",5,5,8800
"Jeep",2015,"USED","Automatic",4,2.4,"4WD","Unleaded",9.1,140964,"Seven Hills","NSW","SUV",4,5,13990
"Toyota",2003,"USED","Automatic",4,2.4,"Rear","Unleaded",0,266848,"Five Dock","NSW","Commercial",4,3,9999
"Volvo",2013,"USED","Automatic",4,1.6,"Front","Premium",7.4,141000,"Blacktown","NSW","Sedan",4,5,14999
"Mitsubishi",2016,"USED","Automatic",4,2.4,"4WD","Diesel",7.6,240402,"Haberfield","NSW","Ute / Tray",4,5,22750
"Mercedes-Benz",2010,"USED","Automatic",4,1.8,"Rear","Premium",7.9,101126,"Glebe","NSW","Coupe",2,4,21950
"Mercedes-Benz",2013,"USED","Automatic",4,2,"Front","Premium",6.6,117254,"Five Dock","NSW","Hatchback",5,5,19999
"Toyota",2012,"USED","Manual",4,2,"Rear","Premium",7.8,178747,"Granville","NSW","Coupe",2,4,19900
"Mazda",2022,"USED","Automatic",4,2.5,"AWD","Unleaded",7.5,10579,"Five Dock","NSW","SUV",4,5,37990
"Toyota",2010,"USED","Automatic",4,1.8,"Front","Unleaded",7.7,167101,"Minchinbury","NSW","Hatchback",5,5,12990
"Ford",2013,"USED","Automatic",6,4,"Rear","Unleaded",9.9,163161,"Blacktown","NSW","Sedan",4,5,16999
"Abarth",2021,"USED","Manual",4,1.4,"Front","Premium",6,13200,"Ryde","NSW","Hatchback",3,4,36990
"Honda",2014,"USED","Automatic",4,2.4,"4WD","Unleaded",8.7,103211,"Blacktown","NSW","SUV",4,5,23880
"Toyota",2007,"USED","Automatic",4,1.8,"Front","Unleaded",7.4,177751,"Minchinbury","NSW","Sedan",4,5,10990
"Toyota",2016,"USED","Automatic",4,2.7,"Rear","Unleaded",10.9,119614,"Ingleburn","NSW","People Mover",3,14,44900
"Hyundai",2012,"USED","Automatic",4,1.8,"Front","Unleaded",6.9,125546,"Blacktown","NSW","Hatchback",5,5,15880
"Mazda",2013,"USED","Automatic",4,2.5,"Front","Unleaded",6.6,163000,"Minchinbury","NSW","Sedan",4,5,16995
"Toyota",2008,"USED","Automatic",6,3.5,"Front","Unleaded",11,132864,"Blacktown","NSW","SUV",4,7,19880
"Hyundai",2018,"USED","Automatic",4,2.2,"AWD","Diesel",7.8,71655,"Homebush","NSW","SUV",4,7,43999
"BMW",2012,"USED","Automatic",4,2,"4WD","Diesel",5.6,109459,"Blacktown","NSW","SUV",4,5,18888
"Holden",2016,"USED","Automatic",4,1.6,"Front","Premium",7.5,65361,"Minchinbury","NSW","Convertible",2,4,24995
"Mercedes-Benz",2006,"USED","Automatic",6,3,"4WD","Diesel",9.6,212953,"Five Dock","NSW","SUV",4,5,9998
"Mitsubishi",2009,"USED","Automatic",4,2,"Front","Unleaded",8.2,163012,"Minchinbury","NSW","Sedan",4,5,9990
"Audi",2014,"USED","Automatic",4,2,"AWD","Premium",6.7,82119,"Blacktown","NSW","Coupe",2,4,27380
"Kia",2018,"USED","Automatic",3,1,"Front","Unleaded",5.4,42071,"Homebush","NSW","Hatchback",5,5,24999
"Jeep",2015,"USED","Automatic",6,3.2,"4WD","Unleaded",10,85958,"Elderslie","NSW","SUV",4,5,17999
"Volkswagen",2011,"USED","Automatic",4,2,"AWD","Premium",8.8,118642,"Lidcombe","NSW","SUV",4,5,12990
"Mitsubishi",2012,"USED","Automatic",4,2,"Front","Unleaded",7.9,187265,"Campbelltown","NSW","SUV",4,5,13990
"BMW",2016,"USED","Automatic",4,2,"Rear","Premium",6.4,118120,"Caringbah","NSW","Convertible",2,4,28990
"Hyundai",2022,"USED","Automatic",4,2,"Front","Unleaded",8.1,19978,"Smithfield","NSW","SUV",4,5,36800
"Mazda",2011,"USED","Automatic",4,2,"Front","Unleaded",8.2,86804,"Lansvale","NSW","Sedan",4,5,13999
"Volkswagen",2023,"NEW","Automatic",4,2,"AWD","Premium",8.9,15,"Blacktown","NSW","SUV",4,7,56887
"Hyundai",2014,"USED","Automatic",4,2.5,"Rear","Diesel",9,183550,"Bankstown","NSW","Wagon",4,8,19888
"Toyota",2014,"USED","Automatic",4,1.3,"Front","Unleaded",6.3,191748,"Bankstown","NSW","Hatchback",5,5,8995
"Toyota",2016,"USED","Automatic",6,3.5,"Front","Unleaded",10.4,139637,"Five Dock","NSW","SUV",4,7,31900
"Mitsubishi",2013,"USED","Automatic",4,2,"Front","Unleaded",7.2,165306,"Minchinbury","NSW","Sedan",4,5,14995
"Subaru",2016,"USED","Automatic",4,2,"AWD","Unleaded",7.1,104887,"North Narrabeen","NSW","SUV",4,5,22990
"Mini",2017,"USED","Automatic",4,2,"Front","Premium",5.5,72501,"Blacktown","NSW","Hatchback",5,5,31990
"Holden",2010,"USED","Manual",8,6,"Rear","Unleaded",14.5,169220,"Blacktown","NSW","Ute / Tray",2,2,25999
"Hyundai",2015,"USED","Automatic",4,1.4,"Front","Unleaded",5.9,111783,"Croydon","NSW","Hatchback",5,5,13990
"Mazda",2018,"USED","Automatic",5,3.2,"Rear","Diesel",9.3,97460,"Haberfield","NSW","Ute / Tray",4,5,30990
"Mazda",2009,"USED","Automatic",4,2,"Front","Unleaded",8.2,178389,"Chester Hill","NSW","Sedan",4,5,8499
"Hyundai",2011,"USED","Automatic",4,1.4,"Front","Unleaded",6.4,188262,"Minchinbury","NSW","Hatchback",5,5,10995
"Mazda",2010,"USED","Automatic",4,2.3,"AWD","Unleaded",11.5,152831,"Liverpool","NSW","SUV",4,5,11669
"Jeep",2017,"USED","Automatic",4,1.4,"Front","Premium",5.9,69218,"Glebe","NSW","SUV",4,5,24950
"Mazda",2013,"USED","Automatic",4,2.5,"Front","Unleaded",6.6,124093,"West Ryde","NSW","Sedan",4,5,16990
"Kia",2013,"USED","Automatic",6,3.5,"Front","Unleaded",10.9,98672,"Minchinbury","NSW","Wagon",4,8,13995
"Mitsubishi",2015,"USED","Automatic",4,2,"Front","Unleaded",7.2,61481,"Minchinbury","NSW","Sedan",4,5,17995
"Subaru",2018,"USED","Automatic",4,2,"AWD","Unleaded",6.6,61177,"Seven Hills","NSW","Hatchback",5,5,22990
"Mazda",2014,"USED","Automatic",4,2,"Front","Unleaded",8.2,132648,"Granville","NSW","Hatchback",5,5,16999
"BMW",2021,"USED","Automatic",4,2,"AWD","Unleaded",7.3,31367,"Sylvania","NSW","SUV",5,5,79988
"Mazda",2010,"USED","Automatic",4,2.3,"AWD","Unleaded",11.5,174818,"Kirrawee","NSW","SUV",4,5,12800
"Audi",2015,"USED","Automatic",4,2,"AWD","Premium",6.7,115334,"Blacktown","NSW","Coupe",2,4,26880
"BMW",2014,"USED","Automatic",4,1.6,"Rear","Premium",5.8,57000,"Cabramatta","NSW","Hatchback",5,5,16990
"Audi",2014,"USED","Automatic",8,4.1,"AWD","Diesel",9.2,199941,"Five Dock","NSW","SUV",4,7,28999
"Suzuki",2015,"USED","Automatic",3,1,"Front","Unleaded",4.8,23316,"Blacktown","NSW","Hatchback",5,4,13880
"Subaru",2016,"USED","Automatic",6,3.6,"AWD","Premium",9.9,226127,"Minto","NSW","Sedan",4,5,17950
"Toyota",2019,"USED","Manual",4,1.2,"Front","Premium",5.4,58185,"Blacktown","NSW","SUV",4,5,33888
"Subaru",2021,"USED","Automatic",4,2.5,"AWD","Unleaded",7.4,16136,"Windsor","NSW","SUV",4,5,39990
"Mazda",2015,"USED","Automatic",4,2,"AWD","Unleaded",6.7,31531,"Penrith","NSW","SUV",4,5,23950
"Jeep",2018,"USED","Automatic",6,3,"4WD","Diesel",7.5,76472,"Glebe","NSW","SUV",4,5,41950
"Hyundai",2018,"USED","Automatic",4,2,"Front","Unleaded",7.4,62719,"Homebush","NSW","Hatchback",4,5,21999
"Nissan",2020,"USED","Automatic",4,2.5,"Front","Unleaded",7.9,52035,"Windsor","NSW","SUV",4,5,27990
"Honda",2010,"USED","Automatic",4,1.5,"Front","Unleaded",6.6,146445,"Kogarah","NSW","Sedan",4,5,8950
"Honda",2020,"USED","Automatic",4,1.5,"Front","Unleaded",7.3,35214,"Blacktown","NSW","SUV",4,7,37880
"Holden",2014,"USED","Manual",4,1.6,"Front","Unleaded",7.4,163000,"South Windsor","NSW","Hatchback",5,5,7950
"Jeep",2013,"USED","Automatic",6,3.6,"Rear","Premium",10.1,69001,"Artarmon","NSW","SUV",4,5,24990
"Toyota",2007,"USED","Automatic",4,2.4,"4WD","Unleaded",9.6,106718,"Lansvale","NSW","SUV",4,5,14999
"Holden",2016,"USED","Automatic",6,3,"Rear","Unleaded",8.3,59689,"Blacktown","NSW","Sedan",4,5,22999
"Mercedes-Benz",2010,"USED","Automatic",4,1.8,"Rear","Premium",9,177834,"Five Dock","NSW","Coupe",2,4,7999
"Mazda",2013,"USED","Automatic",4,2.5,"Front","Unleaded",6.6,105767,"Homebush","NSW","Sedan",4,5,19999
"Volkswagen",2018,"USED","Automatic",4,1.4,"Front","Premium",6,87293,"Blacktown","NSW","Commercial",3,2,30999
"Honda",2013,"USED","Automatic",4,1.8,"Front","Unleaded",6.7,154347,"Minchinbury","NSW","Sedan",4,5,15990
"Jeep",2021,"USED","Automatic",4,2.4,"Front","Unleaded",7.9,20827,"Ryde","NSW","SUV",4,5,32888
"Toyota",2010,"USED","Automatic",4,1.3,"Front","Unleaded",6.5,147626,"Minchinbury","NSW","Hatchback",5,5,10995
"Jeep",2014,"USED","Automatic",6,3,"4WD","Diesel",7.5,114424,"Castle Hill","NSW","SUV",4,5,29990
"Mazda",2009,"USED","Manual",4,2.5,"Front","Unleaded",8.6,153020,"Liverpool","NSW","Hatchback",5,5,13950
"Ford",2016,"USED","Automatic",5,3.2,"4WD","Diesel",9,98700,"Five Dock","NSW","Ute / Tray",4,5,36999
"Toyota",2013,"USED","Automatic",4,2,"Rear","Premium",7.1,103706,"Croydon","NSW","Coupe",2,4,24990
"Volkswagen",2013,"USED","Automatic",4,1.4,"Front","Premium",5.2,126532,"Cabramatta","NSW","Hatchback",5,5,13990
"Mitsubishi",2013,"USED","Automatic",4,2,"Front","Unleaded",7.3,73421,"Brookvale","NSW","Hatchback",5,5,16990
"Toyota",2009,"USED","Automatic",4,2.4,"Front","Unleaded",9.9,155135,"Minchinbury","NSW","Sedan",4,5,10995
"Hyundai",2013,"USED","Automatic",4,1.4,"Front","Unleaded",6.4,123330,"Brookvale","NSW","Hatchback",5,5,12990
"Mitsubishi",2014,"USED","Automatic",4,2.4,"Front","Unleaded",8.9,44249,"Arncliffe","NSW","Hatchback",5,5,18990
"Mazda",2018,"USED","Automatic",4,1.5,"Front","Unleaded",4.9,27100,"Darlinghurst","NSW","Hatchback",5,5,23999
"Mazda",2009,"USED","Automatic",4,2,"Front","Unleaded",8.2,70661,"Minchinbury","NSW","Hatchback",5,5,14995
"Mitsubishi",2014,"USED","Automatic",4,2.5,"4WD","Diesel",9.3,215100,"Eastern Creek","NSW","Ute / Tray",4,5,18995
"Volkswagen",2014,"USED","Automatic",4,1.4,"Front","Premium",5.4,155036,"Castle Hill","NSW","Hatchback",5,5,14990
"BMW",2012,"USED","Automatic",6,3,"Rear","Premium",7.5,67678,"Rydalmere","NSW","Hatchback",5,5,29950
"Holden",2015,"USED","Automatic",6,3.6,"Rear","Unleaded",9.8,133934,"Homebush","NSW","Wagon",4,5,22999
"Volkswagen",2008,"USED","Automatic",4,2,"Front","Premium",8,174915,"Cabramatta","NSW","Hatchback",5,5,14990
"Holden",2014,"USED","Automatic",4,1.8,"Front","Unleaded",7.4,117000,"Windsor","NSW","Sedan",4,5,7888
"Hyundai",2018,"USED","Automatic",4,2.5,"Rear","Diesel",8.8,190176,"Cabramatta","NSW","Wagon",4,8,27990
"Mitsubishi",2013,"USED","Manual",4,2.5,"4WD","Diesel",9.1,231675,"Smithfield","NSW","Ute / Tray",4,5,19800
"BMW",2021,"USED","Automatic",4,2,"Rear","Premium",6.4,23332,"Sylvania","NSW","Sedan",4,5,67988
"Volkswagen",2018,"USED","Automatic",4,1.4,"Front","Premium",5.6,130647,"Blacktown","NSW","Wagon",4,5,21880
"Audi",2019,"USED","Automatic",4,1.4,"Front","Premium",7.2,47307,"Carlton","NSW","SUV",4,5,41888
"Subaru",2016,"USED","Automatic",4,2.5,"AWD","Premium",7.3,74983,"North Narrabeen","NSW","SUV",4,5,29990
"Mazda",2007,"USED","Manual",4,2.3,"Front","Premium",8.8,102496,"Leichhardt","NSW","Hatchback",5,5,7920
"Hyundai",2015,"USED","Automatic",4,1.6,"Front","Unleaded",6.4,84924,"Homebush","NSW","Hatchback",5,5,14999
"Land",2013,"USED","Automatic",6,3,"4WD","Diesel",8.8,159558,"Glebe","NSW","SUV",4,5,38950
